action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1736446500000,92718.4,0.005392672867521441,100.0,94268.56428571428,516.7214285714269,二次死叉,,,,
close,short,1736446500000,92718.4,0.005392672867521441,91.13629135178593,,,,1736491500000.0,94268.56428571428,-8.863708648214077,止损
open,short,1736525700000,93393.7,0.0048791455607704775,91.13629135178593,96206.82142857142,937.7071428571393,死叉,,,,
close,short,1736525700000,93393.7,0.0048791455607704775,76.94811815043937,,,,1736846100000.0,96206.82142857142,-14.188173201346554,止损
open,long,1736878500000,96590.5,0.003983213574339059,76.94811815043937,94951.45,546.3500000000006,二次金叉,,,,
close,long,1736878500000,96590.5,0.003983213574339059,96.13964315743499,,,,1737077400000.0,101507.65000000001,19.191525006995615,固定止盈
open,long,1737208800000,104153.1,0.004615303968745769,96.13964315743499,103004.59285714287,382.83571428571304,金叉,,,,
close,long,1737208800000,104153.1,0.004615303968745769,90.36088572187367,,,,1737324000000.0,103004.59285714287,-5.778757435561312,止损
open,long,1737356400000,109024.4,0.0041440670951582255,90.36088572187367,105841.82857142857,1060.8571428571408,金叉,,,,
close,long,1737356400000,109024.4,0.0041440670951582255,76.72688615289835,,,,1737375300000.0,105841.82857142857,-13.633999568975332,止损
open,long,1737459900000,103725.0,0.003698572482665623,76.72688615289835,102463.58571428571,420.471428571429,金叉,,,,
close,long,1737459900000,103725.0,0.003698572482665623,71.68015227183287,,,,1737597600000.0,102463.58571428571,-5.046733881065474,止损
open,long,1737644400000,103462.3,0.003464071080569099,71.68015227183287,100946.17857142858,838.7071428571414,金叉,,,,
close,long,1737644400000,103462.3,0.003464071080569099,62.610086046297184,,,,1737943200000.0,100946.17857142858,-9.070066225535683,止损
open,short,1737999000000,99547.0,0.0031447500199050294,62.610086046297184,101824.06428571428,759.0214285714288,二次死叉,,,,
close,short,1737999000000,99547.0,0.0031447500199050294,55.13265725926177,,,,1738011600000.0,101824.06428571428,-7.477428787035416,止损
open,short,1738095300000,101928.4,0.0027044796768742455,55.13265725926177,103301.95,457.85000000000167,死叉,,,,
close,short,1738095300000,101928.4,0.0027044796768742455,51.140398543764746,,,,1738179000000.0,103301.95,-3.992258715497022,止损
open,long,1738179000000,103418.1,0.002472507159953855,51.140398543764746,101671.13571428572,582.3214285714296,二次金叉,,,,
close,long,1738179000000,103418.1,0.002472507159953855,46.567474537285975,,,,1738354500000.0,101671.13571428572,-4.572924006478772,止损
open,short,1738418400000,101924.9,0.0022844012865004515,46.567474537285975,102453.45714285715,176.18571428571678,二次死叉,,,,
close,short,1738418400000,101924.9,0.0022844012865004515,49.95875817092088,,,,1738450800000.0,100339.22857142854,3.391283633634909,固定止盈
open,short,1738588500000,94341.5,0.002647761492605104,49.95875817092088,95592.73571428572,417.0785714285718,二次死叉,,,,
close,short,1738588500000,94341.5,0.002647761492605104,46.39433415073707,,,,1738593000000.0,95592.73571428572,-3.56442402018381,止损
open,short,1738653300000,98984.6,0.0023435127358567434,46.39433415073707,100651.6142857143,555.6714285714291,死叉,,,,
close,short,1738653300000,98984.6,0.0023435127358567434,42.2537399359521,,,,1738696500000.0,100651.6142857143,-4.140594214784976,止损
