open_time,open,high,low,close,volume,close_time
1730102400000,591.58,594.9,590.88,594.49,60894.08,1730116799999
1730116800000,594.48,596.7,590.48,590.59,93623.42,1730131199999
1730131200000,590.58,597.15,588.72,596.04,87235.62,1730145599999
1730145600000,598.66,605.0,598.4,601.37,95399.54,1730159999999
1730160000000,601.37,610.87,600.18,605.88,128456.08,1730174399999
1730174400000,605.88,607.6,604.31,604.5,65099.37,1730188799999
1730188800000,604.58,607.98,604.43,606.99,55898.01,1730203199999
1730203200000,607.0,611.05,604.56,610.49,98661.88,1730217599999
1730217600000,610.49,612.78,603.83,604.19,179881.68,1730231999999
1730232000000,604.22,607.71,600.69,606.71,76992.22,1730246399999
1730246400000,606.7,607.14,598.56,603.17,101662.63,1730260799999
1730260800000,603.16,607.2,601.18,602.5,41398.67,1730275199999
1730275200000,602.49,605.11,595.91,596.03,96546.45,1730289599999
1730289600000,596.04,601.97,594.5,597.32,132300.87,1730303999999
1730304000000,597.32,600.62,596.52,597.77,39350.73,1730318399999
1730318400000,597.76,600.84,595.02,595.9,58312.71,1730332799999
1730332800000,595.9,596.88,592.0,592.98,73094.26,1730347199999
1730347200000,592.99,593.39,588.07,588.13,79360.07,1730361599999
1730361600000,588.13,588.17,581.75,586.85,153404.95,1730375999999
1730376000000,586.85,589.22,575.62,581.0,252826.64,1730390399999
1730390400000,581.0,581.01,573.1,573.42,126657.43,1730404799999
1730404800000,573.42,578.34,571.14,576.71,72668.2,1730419199999
1730419200000,576.7,580.75,570.15,578.96,141165.42,1730433599999
1730433600000,578.96,580.35,572.26,574.77,91205.83,1730447999999
1730448000000,574.78,579.68,574.69,577.54,84516.01,1730462399999
1730462400000,577.54,585.46,568.22,571.72,289442.82,1730476799999
1730476800000,571.72,577.28,569.64,571.85,105374.52,1730491199999
1730491200000,571.86,573.59,567.52,572.93,39336.36,1730505599999
1730505600000,572.93,575.83,572.64,575.22,53135.61,1730519999999
1730520000000,575.23,576.94,573.62,576.2,34850.84,1730534399999
1730534400000,576.19,576.7,572.78,573.04,30936.57,1730548799999
1730548800000,573.05,573.5,562.06,566.47,177359.15,1730563199999
1730563200000,566.47,569.62,566.26,569.53,63506.5,1730577599999
1730577600000,569.54,570.64,566.76,568.58,34219.62,1730591999999
1730592000000,568.59,569.3,556.93,561.89,142619.78,1730606399999
1730606400000,561.89,565.22,561.44,563.66,59488.95,1730620799999
1730620800000,563.66,563.66,556.95,557.41,69209.48,1730635199999
1730635200000,557.4,559.73,546.69,551.75,184813.44,1730649599999
1730649600000,551.74,556.94,548.43,556.89,93310.31,1730663999999
1730664000000,556.89,560.22,555.68,557.78,67731.4,1730678399999
1730678400000,557.79,564.71,553.13,562.45,93127.5,1730692799999
1730692800000,562.45,564.05,558.26,558.74,71379.21,1730707199999
1730707200000,558.75,562.35,556.18,560.12,70005.19,1730721599999
1730721600000,560.13,563.33,556.3,559.53,85633.49,1730735999999
1730736000000,559.53,560.52,550.88,552.72,94497.16,1730750399999
